path,bytes,kb,extension,sha256,width,height,format,mode,error
static/images/baggit-belts.jpg,17635,17.22,jpg,0b16463e1e588cea1bbfa79fee93942e2de76279718eae1c7965c253574eeaf8,800,800,JPEG,RGB,
static/images/bata-dress-shoes.jpg,17594,17.18,jpg,6f2058bfcc2b811815c2f3925b6a74513c599a196ef8140a842f42623fed3e33,800,800,JPEG,RGB,
static/images/kisah-sherwanis.jpg,17402,16.99,jpg,eecbc631e476d3c0057d12c6487fd12d6f9afea1f98a6a785acbb943e1c22533,800,800,JPEG,RGB,
static/images/logo1.webp,17268,16.86,webp,a3a9ca0f52f2fcc1b037d575a2f9a7c01c72e5900c883acb2379f4869b71c89b,500,500,WEBP,RGBA,
static/images/adidas-t-shirts.jpg,17217,16.81,jpg,5cd8d57e0359e5c579f0675a6f09c510eaf9b542b630a28f34375670ae2aba30,800,800,JPEG,RGB,
static/images/casio-watches.jpg,17089,16.69,jpg,4629a938de7e20553de263656e2903b82064f16fcf64887c192376660d60ce09,800,800,JPEG,RGB,
static/images/cargo-pants.jpg,17038,16.64,jpg,39ce9072121e5f4a21051494cf206db6a2f6085cfd5f71b26eb3cd46d518e09e,800,800,JPEG,RGB,
static/images/fossil-wallets.jpg,17030,16.63,jpg,a0d19932a727d2f0d3678cb3024145e9519a412c17a013b32bf0217f61353331,800,800,JPEG,RGB,
static/images/sunglasses.jpg,17020,16.62,jpg,a8c7b7b62f5ac50ff216787d8b21ffc6a5fab979ee81d8712af77ac32db88b05,800,800,JPEG,RGB,
static/images/aurelia-kurtas.jpg,16914,16.52,jpg,48c0d13a3effe62d47a289b9af9575a84f40fb1b86f23a3c9ce8e3ec017f5054,800,800,JPEG,RGB,
static/images/nike-t-shirts.jpg,16838,16.44,jpg,100a13abcfb453e73c0c81c0361a1fe979aadf95f3f466ec815244a78f83a47f,800,800,JPEG,RGB,
static/images/levis-wallets.jpg,16823,16.43,jpg,0b1aa6f8dba70ad01ab0947ef90e8e91ef51bffa6fd111039cc72561a7fe8ad4,800,800,JPEG,RGB,
static/images/levis-belts.jpg,16661,16.27,jpg,5ddb3e29d6bae7a683ef7dfaa0e6eb20e0c39858b51a71a77580bf52fee9cdd8,800,800,JPEG,RGB,
static/images/wallets.jpg,16015,15.64,jpg,f58ca0f45a9271f9c3c73eca4781e92750cfe7e43bbcffd5ff995e2d13e457c2,800,800,JPEG,RGB,
static/images/suits.jpg,15524,15.16,jpg,be64a8df9869f05a5e2b406880929fcd8b1349b380dbd7bb338dc2601ac1b5e6,800,800,JPEG,RGB,
static/images/belts.jpg,15393,15.03,jpg,92175645058c4bc1be43c17cc5efe1093e395f9bad48d929790968b7f150d957,800,800,JPEG,RGB,
static/images/american-tourister-bags.webp,5078,4.96,webp,834b62ad32bc4dcaad63f518dfa910a3fe3e4137cf72e211a643086723fb9b64,800,800,WEBP,RGB,
